Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;4;6,05;9,99;13,15;;;
;4,01;6,07;9,99;13,15;;;
;3,95;6,01;9,99;13,15;;;
;3,99;6,02;9,99;13,15;;;
;3,95;5,98;9,99;13,15;;;
;3,98;6,05;9,99;13,15;;;
;3,98;6,01;9,99;13,15;;;
;3,95;5,98;9,99;13,15;;;
;3,93;5,96;9,99;13,15;;;
;3,9;5,93;9,99;13,15;;;
;3,9;5,96;9,99;13,15;;;
;3,88;5,94;9,99;13,15;;;
;3,84;5,88;9,99;13,15;;;
;3,84;5,93;9,99;13,15;;;
;3,88;5,98;9,99;13,15;;;
;3,88;5,97;9,99;13,15;;;
;3,89;5,93;9,99;13,15;;;
13;3,89;5,93;9,99;13,15;;;
;3,87;5,89;9,99;13,15;;;
;3,88;5,88;9,99;13,15;;;
;3,87;5,87;9,99;13,15;;;
;3,83;5,8;9,99;13,15;;;
;3,79;5,78;9,99;13,15;;;
;3,81;5,78;9,99;13,15;;;
;3,82;5,79;9,99;13,15;;;
;3,82;5,77;9,99;13,15;;;
;3,79;5,71;9,99;13,15;;;
;3,76;5,66;9,99;13,15;;;
;3,74;5,63;9,99;13,15;;;
;3,81;5,72;9,99;13,15;;;
;3,82;5,74;9,99;13,15;;;
;3,86;5,77;9,99;13,15;;;
;3,86;5,76;9,99;13,15;;;
;3,87;5,79;9,99;13,15;;;
;3,9;5,83;9,99;13,15;;;
13,5;3,86;5,78;9,99;13,15;;;
;3,83;5,77;9,99;13,15;;;
;3,86;5,8;9,99;13,15;;;
;3,84;5,78;9,99;13,15;;;
;3,84;5,78;9,99;13,15;;;
;3,84;5,77;9,99;13,15;;;
;3,84;5,76;9,99;13,15;;;
;3,89;5,81;9,99;13,15;;;
;3,88;5,84;9,99;13,15;;;
;3,92;5,9;9,99;13,15;;;
;3,92;5,91;9,99;13,15;;;
;3,91;5,88;9,99;13,15;;;
;3,89;5,87;9,99;13,15;;;
;3,88;5,82;9,99;13,15;;;
;3,85;5,79;9,99;13,15;;;
;3,82;5,78;9,99;13,15;;;
;3,82;5,76;9,99;13,15;;;
;3,86;5,83;9,99;13,15;;;
14;3,83;5,85;9,99;13,15;;;
;3,79;5,8;9,99;13,15;;;
;3,73;5,71;9,99;13,15;;;
;3,73;5,69;9,99;13,15;;;
;3,73;5,7;9,99;13,15;;;
;3,71;5,69;9,99;13,15;;;
;3,69;5,65;9,99;13,15;;;
;3,72;5,67;9,99;13,15;;;
;3,74;5,73;9,99;13,15;;;
;3,77;5,75;9,99;13,15;;;
;3,78;5,76;9,99;13,15;;;
;3,74;5,69;9,99;13,15;;;
;3,73;5,63;9,99;13,15;;;
;3,78;5,66;9,99;13,15;;;
;3,78;5,72;9,99;13,15;;;
;3,78;5,71;9,99;13,15;;;
;3,78;5,72;9,99;13,15;;;
;3,75;5,66;9,99;13,15;;;
14,5;3,73;5,66;9,99;13,15;;;
;3,74;5,71;9,99;13,15;;;
;3,72;5,68;9,99;13,15;;;
;3,72;5,64;9,99;13,15;;;
;3,72;5,63;9,99;13,15;;;
;3,73;5,65;9,99;13,15;;;
;3,74;5,66;9,99;13,15;;;
;3,77;5,71;9,99;13,15;;;
;3,78;5,71;9,99;13,15;;;
;3,76;5,69;9,99;13,15;;;
;3,82;5,77;9,99;13,15;;;
;3,81;5,73;9,99;13,15;;;
;3,79;5,68;9,99;13,15;;;
;3,81;5,71;9,99;13,15;;;
;3,84;5,74;9,99;13,15;;;
;3,85;5,72;9,99;13,15;;;
;3,87;5,74;9,99;13,15;;;
;3,87;5,75;9,99;13,15;;;
15;3,9;5,76;9,99;13,15;;;
;3,88;5,76;9,99;13,15;;;
;3,85;5,75;9,99;13,15;;;
;3,82;5,72;9,99;13,15;;;
;3,82;5,74;9,99;13,15;;;
;3,8;5,69;9,99;13,15;;;
