Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;Parameters:;
;4128,9;4175,81;4411,47;4461,13;;;;
;4130,21;4177,04;4411,51;4461,16;;;;
;4131,54;4178,49;4411,54;4461,2;;;;
;4132,82;4179,87;4411,57;4461,23;;;;
;4134,1;4181,04;4411,61;4461,26;;;;
;4135,45;4182,31;4411,64;4461,29;;;;
;4136,71;4183,68;4411,67;4461,33;;;;
;4138,03;4184,79;4411,7;4461,36;;;;
;4139,37;4186,26;4411,73;4461,39;;;;
;4140,9;4187,89;4411,76;4461,42;;;;
;4142,19;4189,12;4411,79;4461,45;;;;
;4143,61;4190,67;4411,82;4461,47;;;;
;4144,71;4191,74;4411,85;4461,5;;;;
;4145,81;4192,9;4411,88;4461,53;;;;
;4147,14;4194,28;4411,9;4461,56;;;;
;4148,36;4195,5;4411,93;4461,58;;;;
;4149,59;4196,81;4411,96;4461,61;;;;
;4150,77;4198,01;4411,98;4461,64;;;;
;4152,16;4199,5;4412,01;4461,66;;;;
;4153,21;4200,48;4412,03;4461,69;;;;
;4154,69;4202,06;4412,06;4461,71;;;;
;4155,85;4203,32;4412,08;4461,73;;;;
;4156,93;4204,32;4412,1;4461,76;;;;
;4158,07;4205,4;4412,13;4461,78;;;;
;4159,33;4206,71;4412,15;4461,8;;;;
;4160,63;4207,9;4412,17;4461,83;;;;
;4161,98;4209,4;4412,19;4461,85;;;;
;4163,07;4210,35;4412,22;4461,87;;;;
;4164,43;4211,69;4412,24;4461,89;;;;
;4165,65;4213,18;4412,26;4461,91;;;;
;4166,77;4214,4;4412,28;4461,93;;;;
;4167,77;4215,31;4412,3;4461,95;;;;
;4168,91;4216,29;4412,32;4461,97;;;;
;4170,04;4217,37;4412,34;4461,99;;;;
;4171,34;4218,96;4412,36;4462,01;;;;
;4172,63;4220,31;4412,37;4462,03;;;;
;4173,7;4221,25;4412,39;4462,05;;;;
;4174,71;4222,33;4412,41;4462,07;;;;
;4175,8;4223,52;4412,43;4462,08;;;;
;4177,01;4224,79;4412,45;4462,1;;;;
;4178,02;4225,94;4412,46;4462,12;;;;
;4179,06;4226,99;4412,48;4462,13;;;;
;4180,12;4228,14;4412,5;4462,15;;;;
;4181,08;4228,91;4412,51;4462,17;;;;
;4182,08;4229,87;4412,53;4462,18;;;;
;4183,2;4230,96;4412,54;4462,2;;;;
;4184,15;4231,99;4412,56;4462,21;;;;
;4185,18;4233,09;4412,57;4462,23;;;;
;4186,26;4234,28;4412,59;4462,24;;;;
;4187,3;4235,36;4412,6;4462,26;;;;
;4188,45;4236,66;4412,62;4462,27;;;;
;4189,49;4237,72;4412,63;4462,29;;;;
;4190,45;4238,7;4412,65;4462,3;;;;
;4191,62;4240,02;4412,66;4462,31;;;;
;4192,65;4241,02;4412,67;4462,33;;;;
;4193,56;4241,81;4412,69;4462,34;;;;
;4194,6;4242,81;4412,7;4462,35;;;;
;4195,56;4243,91;4412,71;4462,37;;;;
;4196,52;4244,85;4412,72;4462,38;;;;
;4197,49;4245,61;4412,74;4462,39;;;;
;4198,51;4246,49;4412,75;4462,4;;;;
;4199,37;4247,27;4412,76;4462,41;;;;
;4200,28;4248,15;4412,77;4462,43;;;;
;4201,28;4249,19;4412,78;4462,44;;;;
;4202,14;4250,13;4412,79;4462,45;;;;
;4202,95;4251;4412,8;4462,46;;;;
;4203,95;4252,04;4412,81;4462,47;;;;
;4204,72;4252,78;4412,82;4462,48;;;;
;4205,57;4253,65;4412,84;4462,49;;;;
;4206,51;4254,52;4412,85;4462,5;;;;
;4207,41;4255,28;4412,86;4462,51;;;;
;4208,28;4256,14;4412,87;4462,52;;;;
;4209,27;4257,11;4412,87;4462,53;;;;
;4210,15;4257,95;4412,88;4462,54;;;;
;4210,94;4258,84;4412,89;4462,55;;;;
;4211,96;4260,02;4412,9;4462,56;;;;
;4212,83;4260,89;4412,91;4462,57;;;;
;4213,62;4261,71;4412,92;4462,58;;;;
;4214,6;4262,84;4412,93;4462,58;;;;
;4215,62;4263,69;4412,94;4462,59;;;;
;4216,48;4264,55;4412,95;4462,6;;;;
;4217,29;4265,41;4412,95;4462,61;;;;
;4218,21;4266,31;4412,96;4462,62;;;;
;4218,92;4266,96;4412,97;4462,62;;;;
;4219,73;4267,71;4412,98;4462,63;;;;
;4220,59;4268,51;4412,99;4462,64;;;;
;4221,44;4269,42;4412,99;4462,65;;;;
;4222,12;4270,09;4413;4462,66;;;;
;4222,87;4270,88;4413,01;4462,66;;;;
;4223,72;4271,81;4413,01;4462,67;;;;
;4224,57;4272,71;4413,02;4462,68;;;;
;4225,29;4273,6;4413,03;4462,68;;;;
;4225,99;4274,27;4413,04;4462,69;;;;
;4226,86;4275,07;4413,04;4462,7;;;;
;4227,59;4275,96;4413,05;4462,7;;;;
;4228,4;4276,94;4413,05;4462,71;;;;
;4229,21;4277,71;4413,06;4462,72;;;;
;4230,02;4278,53;4413,07;4462,72;;;;
;4230,8;4279,34;4413,07;4462,73;;;;
;4231,52;4280,09;4413,08;4462,73;;;;
;4232,29;4280,92;4413,08;4462,74;;;;
;4233,07;4281,55;4413,09;4462,75;;;;
;4233,89;4282,29;4413,1;4462,75;;;;
;4234,54;4282,85;4413,1;4462,76;;;;
;4235,24;4283,64;4413,11;4462,76;;;;
;4235,85;4284,35;4413,11;4462,77;;;;
;4236,66;4285,26;4413,12;4462,77;;;;
;4237,49;4286,02;4413,12;4462,78;;;;
1,5;4238,04;4286,64;4413,13;4462,78;;;;
;4238,79;4287,28;4413,13;4462,79;;;;
;4239,58;4288,23;4413,14;4462,79;;;;
;4240,19;4288,91;4413,14;4462,8;;;;
;4240,97;4289,74;4413,15;4462,8;;;;
;4241,83;4290,72;4413,15;4462,81;;;;
;4242,41;4291,3;4413,16;4462,81;;;;
;4243,1;4292,03;4413,16;4462,82;;;;
;4243,81;4292,87;4413,17;4462,82;;;;
;4244,5;4293,61;4413,17;4462,82;;;;
;4245,16;4294,36;4413,17;4462,83;;;;
;4245,95;4295,15;4413,18;4462,83;;;;
